3000000000000000000020000001020000020000,3421421313422134
0000000000000000010010002000100210000200,1234214334214312
0000300000000000101020000000000000000101,2314342141321243
2000001000000000000000000001020000010000,2431431212433124
0020300000000003000000000000001002000000,1324324141322413
0001000000000000000000002002000020000100,4321321421431432
0000100000000001000011000000020000000010,3412123441232341
0000000000000000200000000100021000001001,4231314214232314
0000000020000000000000000201010010000022,3241142321344312
0000000000000030010000000100200000001000,4123321413422431
3000000000000000002000000100020001020020,3241412314322314
0000000000000002020000000010010000100100,4213342121341342
0000000000000000001010110000020000010001,2413423113423124
0004000000000000200020000020001000010001,3124243113424213
0000000020000000000000000000000002002220,4123341223411234
0001000000000000000100000000100000000200,2341341212344123
0000000000000003000000200201000020000000,1342342121344213
0000000000000000001000221000000100000000,1423213443123241
0000020030000000200000002000100000000000,2134421334211342
0000000000000000000200020100100010010002,1324314242132431
